product_id,name,brand,category,subcategory,price,quantity,unit,unit_price,availability,store,city,product_url,image_url,scrape_timestamp,processed_timestamp
,FRESCO AIR FRESHNER 250 ML,FRESCO,Electronics,,545.0,0.25,L,2180.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:12.101050,2026-03-13T12:03:28.419739
,PANASONIC IRON MALAYSIA NI22AWT,PANASONIC,Electronics,,8500.0,1.0,unit,8500.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:12.197527,2026-03-13T12:03:28.419739
,REMINGTON HAIR STRAIGHTNER S3500,REMINGTON,Electronics,,9200.0,1.0,unit,9200.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:12.284416,2026-03-13T12:03:28.420259
,REMINGTON HAIR STRAIGHTNER S9100,REMINGTON,Electronics,,18200.0,1.0,unit,18200.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:12.350510,2026-03-13T12:03:28.420259
,PHILIPS AIR FRYER HD9270,PHILIPS,Electronics,,39900.0,1.0,unit,39900.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:12.400663,2026-03-13T12:03:28.420400
,REMINGTON HAIR STRAIGHTNER 8500,REMINGTON,Electronics,,13900.0,1.0,unit,13900.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:12.445065,2026-03-13T12:03:28.420400
,PANASONIC IRON NI-22AWTXJ,PANASONIC,Electronics,,16500.0,1.0,unit,16500.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:12.494845,2026-03-13T12:03:28.420400
,PRESTIGE MILK FROTHER BLACK 57262,PRESTIGE,Electronics,,3295.0,1.0,unit,3295.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:12.535905,2026-03-13T12:03:28.420400
,PHILIPS HAIR DRYER BHC010,PHILIPS,Electronics,,6900.0,1.0,unit,6900.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:12.673712,2026-03-13T12:03:28.420400
,REMINGTON HAIR STRAIGHTENER S9600,REMINGTON,Electronics,,18500.0,1.0,unit,18500.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:12.796836,2026-03-13T12:03:28.420400
,PANASONIC IRON NI-317T,PANASONIC,Electronics,,6200.0,1.0,unit,6200.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:12.841617,2026-03-13T12:03:28.420400
,REMINGTON HAIR STRAIGHTNER S6300,REMINGTON,Electronics,,10500.0,1.0,unit,10500.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:12.885506,2026-03-13T12:03:28.420400
,ABDULLAH ATTA MACHINE 3.5 KG PC,ABDULLAH,Electronics,,10700.0,3.5,kg,3057.14,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:12.927621,2026-03-13T12:03:28.420400
,PHILIPS EPILATOR BRE225,PHILIPS,Electronics,,9500.0,1.0,unit,9500.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:12.970750,2026-03-13T12:03:28.420400
,MIDAS FAN HEATER E-3,MIDAS,Electronics,,10900.0,1.0,unit,10900.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:13.048954,2026-03-13T12:03:28.420400
,PRESTIGE MILK FROTHER WHITE 57263,PRESTIGE,Electronics,,3295.0,1.0,unit,3295.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:13.148142,2026-03-13T12:03:28.420400
,DELUX AUTOMATIC AEROSOL DISPENSER MACHINE,Lux,Electronics,,2295.0,1.0,unit,2295.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:13.192032,2026-03-13T12:03:28.420400
,NERO ELECTRIC TOOTH BRUSH BLUE SB-202,NERO,Electronics,,2095.0,1.0,unit,2095.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:13.235467,2026-03-13T12:03:28.420400
,KENWOOD COOKER INFRARED IFC01.000BK,KENWOOD,Electronics,,16900.0,1.0,unit,16900.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:13.282768,2026-03-13T12:03:28.420400
,NERO ELECTRIC TOOTH BRUSH PINK SB-201,NERO,Electronics,,2095.0,1.0,unit,2095.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:13.323870,2026-03-13T12:03:28.420400
,NERO ELECTRIC TOOTH BRUSH BLACK & WHITE 206,NERO,Electronics,,2395.0,1.0,unit,2395.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:13.370697,2026-03-13T12:03:28.420400
,REMINGTON HAIR STRAIGHTNER S8540,REMINGTON,Electronics,,16900.0,1.0,unit,16900.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:13.435684,2026-03-13T12:03:28.420400
,PHILIPS TRIMMER ONE BLADE QP1424/10,PHILIPS,Electronics,,7500.0,1.0,unit,7500.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:13.477867,2026-03-13T12:03:28.420400
,PHILIPS HYBRID BLISTER BLADE QP220/51,PHILIPS,Electronics,,6995.0,1.0,unit,6995.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:13.521003,2026-03-13T12:03:28.420400
,DINGLING TRIMMER RF-601-B,DINGLING,Electronics,,1995.0,1.0,unit,1995.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:13.561727,2026-03-13T12:03:28.420400
,NERO SPIN BRUSH ELECRIC WHITER TEETH SB204,NERO,Electronics,,2395.0,1.0,unit,2395.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:13.610142,2026-03-13T12:03:28.420400
,PHILIPS TRIMMER ONE BLADE QP2824/10,PHILIPS,Electronics,,11500.0,1.0,unit,11500.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:13.669722,2026-03-13T12:03:28.420400
,WEST POINT COFFEE GRINDER WF9225,WEST,Electronics,,9900.0,1.0,unit,9900.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:13.765422,2026-03-13T12:03:28.420400
,SUBOOM GARMENTS STEAMER IR ST-CT/919,SUBOOM,Electronics,,29900.0,1.0,unit,29900.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:13.805230,2026-03-13T12:03:28.420400
,AEROSOL DISPENSER WITH REMOTE,AEROSOL,Electronics,,2995.0,1.0,unit,2995.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:13.844997,2026-03-13T12:03:28.420400
,PHILIPS BODY SHAVER BG3027/03,PHILIPS,Electronics,,13900.0,1.0,unit,13900.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:13.892770,2026-03-13T12:03:28.420400
,PANASONIC GARMENTS STEAMER NI-GSG060,PANASONIC,Electronics,,27900.0,1.0,unit,27900.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:13.948803,2026-03-13T12:03:28.420400
,NERO SPIN BRUSH ELECTRIC 2 REFILL HEADS SB205,NERO,Electronics,,995.0,1.0,unit,995.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:14.007570,2026-03-13T12:03:28.421418
,AEROSOL DISPENSER WITH LED,AEROSOL,Electronics,,2450.0,1.0,unit,2450.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:14.052974,2026-03-13T12:03:28.421418
,REMINGTON HAIR CURLER AS8810/8110,REMINGTON,Electronics,,17900.0,1.0,unit,17900.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:14.123569,2026-03-13T12:03:28.421418
,CERTEEZA BATHROOM SCALE 180KG GS810,CERTEEZA,Electronics,,2795.0,180.0,kg,15.53,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:14.181164,2026-03-13T12:03:28.421418
,CERTEEZA BATROOM SCALE GLASS 180KG GS808,CERTEEZA,Electronics,,2495.0,180.0,kg,13.86,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:14.252158,2026-03-13T12:03:28.421418
,REMINGTON HAIR DRYER AC9140,REMINGTON,Electronics,,19900.0,1.0,unit,19900.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:14.288715,2026-03-13T12:03:28.421418
,REMINGTON HAIR STRAIGHTNER S8550,REMINGTON,Electronics,,15900.0,1.0,unit,15900.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:14.341573,2026-03-13T12:03:28.421418
,BEURER BATH SCALE GLASS GS10 PC,BEURER,Electronics,,3400.0,1.0,unit,3400.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:14.380995,2026-03-13T12:03:28.421418
,VGR ZERO T-BLADE TRIMMER V030,VGR,Electronics,,2895.0,1.0,unit,2895.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:14.421984,2026-03-13T12:03:28.421418
,CERTEEZA BATHROOM SCALE 180KG GS807,CERTEEZA,Electronics,,2495.0,180.0,kg,13.86,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:14.463447,2026-03-13T12:03:28.421418
,PHILIPS FACIAL HAIR REMOVER BRR454/00,PHILIPS,Electronics,,9900.0,1.0,unit,9900.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:14.506042,2026-03-13T12:03:28.421418
,PANASONIC JUICER 3IN1 DJ31 BASIC,PANASONIC,Electronics,,48900.0,1.0,unit,48900.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:14.545025,2026-03-13T12:03:28.421418
,DINGLING TRIMMER 607,DINGLING,Electronics,,3795.0,1.0,unit,3795.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:14.648769,2026-03-13T12:03:28.421418
,REMINGTON HAIR STRAIGHTNER S5901,REMINGTON,Electronics,,15400.0,1.0,unit,15400.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:14.695055,2026-03-13T12:03:28.421418
,PANASONIC STEAM IRON NI-M300,PANASONIC,Electronics,,7900.0,1.0,unit,7900.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:14.735671,2026-03-13T12:03:28.421418
,CERTEEZA BATHROOM SCALE 200KG PS812,CERTEEZA,Electronics,,3595.0,200.0,kg,17.98,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:14.781272,2026-03-13T12:03:28.421418
,WEST POINT KETTLE 6172,WEST,Electronics,,7900.0,1.0,unit,7900.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:14.820959,2026-03-13T12:03:28.421418
,TOWEL STAND ELEGANT HOME EH0001,TOWEL,Electronics,,4395.0,1.0,unit,4395.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:14.860239,2026-03-13T12:03:28.421418
,PHILIPS NOSE TRIMMER NT3650,PHILIPS,Electronics,,6900.0,1.0,unit,6900.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:14.906513,2026-03-13T12:03:28.421418
,ABDULLAH ATTA MACHINE 5KG 221,ABDULLAH,Electronics,,13900.0,5.0,kg,2780.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:14.944831,2026-03-13T12:03:28.421418
,ROYAL AIR PURIFIER RAP-5000,ROYAL,Electronics,,30900.0,1.0,unit,30900.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:14.989770,2026-03-13T12:03:28.421418
,PANASONIC HAND BLENDER MX-SS1BTZ,PANASONIC,Electronics,,16500.0,1.0,unit,16500.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:15.068806,2026-03-13T12:03:28.421418
,WEST POINT HAIR TRIMMER WF6613,WEST,Electronics,,3995.0,1.0,unit,3995.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:15.110266,2026-03-13T12:03:28.421418
,YANDOU MAN SHAVER SV-W301U,YANDOU,Electronics,,1495.0,1.0,unit,1495.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:15.153285,2026-03-13T12:03:28.421418
,VGR HAIR CLIPPER V176,VGR,Electronics,,2695.0,1.0,unit,2695.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:15.185539,2026-03-13T12:03:28.421418
,CERTEEZA BATHROOM SCALE GS815,CERTEEZA,Electronics,,2995.0,1.0,unit,2995.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:15.235890,2026-03-13T12:03:28.421418
,WEST POINT JUICER BLENDER GRINDER 8824,WEST,Electronics,,13900.0,1.0,unit,13900.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:15.276001,2026-03-13T12:03:28.421418
,PANASONIC HANDY GARMENTS STEAMER NI-GHD015,PANASONIC,Electronics,,14900.0,1.0,unit,14900.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:15.314132,2026-03-13T12:03:28.421418
,PHILIPS BEARD TRIMMER BT3232/15,PHILIPS,Electronics,,12900.0,1.0,unit,12900.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:15.360367,2026-03-13T12:03:28.421418
,REMINGTON HAIR DRYER D5216,REMINGTON,Electronics,,13500.0,1.0,unit,13500.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:15.395175,2026-03-13T12:03:28.421418
,WEST POINT VACUUM CLEANER 231,WEST,Electronics,,13900.0,1.0,unit,13900.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:15.481138,2026-03-13T12:03:28.421418
,PHILIPS KETTLE 9307,PHILIPS,Electronics,,11900.0,1.0,unit,11900.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:15.556790,2026-03-13T12:03:28.421418
,PHILIPS TRIMMER BRT383,PHILIPS,Electronics,,9900.0,1.0,unit,9900.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:15.594915,2026-03-13T12:03:28.421418
,DINGLING TRIMMER RF601C,DINGLING,Electronics,,2495.0,1.0,unit,2495.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:15.661798,2026-03-13T12:03:28.421418
,BRAUN HAND BLENDER 10.001M,BRAUN,Electronics,,11500.0,1.0,unit,11500.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:15.703314,2026-03-13T12:03:28.421418
,PHILIPS EPILATOR BRE710/01,PHILIPS,Electronics,,29900.0,1.0,unit,29900.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:15.744990,2026-03-13T12:03:28.421418
,PHILIPS IRON HD1172 PC,PHILIPS,Electronics,,6500.0,1.0,unit,6500.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:15.810834,2026-03-13T12:03:28.421418
,WEST POINT KETTLE 6173,WEST,Electronics,,7900.0,1.0,unit,7900.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:15.901527,2026-03-13T12:03:28.422367
,REMINGTON HAIR CURLER C15519,REMINGTON,Electronics,,9900.0,1.0,unit,9900.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:15.935540,2026-03-13T12:03:28.422367
,PHILIPS NOSE TRIMMER NT1650/16,PHILIPS,Electronics,,5500.0,1.0,unit,5500.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:15.982984,2026-03-13T12:03:28.422367
,REMINGTON HAIR DRYER 5000,REMINGTON,Electronics,,10200.0,1.0,unit,10200.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:16.020883,2026-03-13T12:03:28.422367
,PANASONIC TRIMMER ER2031,PANASONIC,Electronics,,13900.0,1.0,unit,13900.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:16.060012,2026-03-13T12:03:28.422367
,AEROSOL DISPENSER LED WITH ADAPTER,AEROSOL,Electronics,,2995.0,1.0,unit,2995.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:16.151018,2026-03-13T12:03:28.422367
,PHILIPS TOASTER HD2581,PHILIPS,Electronics,,11900.0,1.0,unit,11900.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:16.189557,2026-03-13T12:03:28.422512
,DINGLING TRIMMER ORIGINAL RF-601,DINGLING,Electronics,,2895.0,1.0,unit,2895.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:16.247769,2026-03-13T12:03:28.422512
,WEST POINT HANDY GARMENTS STEAMER WF1353,WEST,Electronics,,9500.0,1.0,unit,9500.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:16.306380,2026-03-13T12:03:28.422512
,VGR HAIR TRIMMER V961,VGR,Electronics,,4695.0,1.0,unit,4695.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:16.347677,2026-03-13T12:03:28.422512
,REMINGTON HAIR DRYER 5210,REMINGTON,Electronics,,12900.0,1.0,unit,12900.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:16.385732,2026-03-13T12:03:28.422512
,REMINGTON HAIR DRYER D1500,REMINGTON,Electronics,,9200.0,1.0,unit,9200.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:16.427716,2026-03-13T12:03:28.422512
,PANASONIC HAND MIXER MKGH3,PANASONIC,Electronics,,11900.0,1.0,unit,11900.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:16.477551,2026-03-13T12:03:28.422512
,REMINGTON HAIR DRYER D5215,REMINGTON,Electronics,,13500.0,1.0,unit,13500.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:16.522396,2026-03-13T12:03:28.422958
,WEST POINT IRON DRY WF772,WEST,Electronics,,5900.0,1.0,unit,5900.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:16.560247,2026-03-13T12:03:28.422958
,KENWOOD SANDWICH MAKER SMM00.000SL,KENWOOD,Electronics,,8900.0,1.0,unit,8900.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:16.645047,2026-03-13T12:03:28.423040
,PHILIPS HAIR DRYER BHD272/03,PHILIPS,Electronics,,18900.0,1.0,unit,18900.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:16.697279,2026-03-13T12:03:28.423040
,PANASONIC BLENDER MX-MG5421W,PANASONIC,Electronics,,23900.0,1.0,unit,23900.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:16.735638,2026-03-13T12:03:28.423040
,WEST POINT HAND BLENDER 9916,WEST,Electronics,,11900.0,1.0,unit,11900.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:16.782946,2026-03-13T12:03:28.423040
,REMINGTON HAIR STRAIGHTNER S5860,REMINGTON,Electronics,,18900.0,1.0,unit,18900.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:16.863170,2026-03-13T12:03:28.423040
,VGR TRIMMER PRECISION V055,VGR,Electronics,,2695.0,1.0,unit,2695.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:16.903499,2026-03-13T12:03:28.423040
,G.F.C AIR PURIFIER MODEL GF-400,G.F.C,Electronics,,58900.0,1.0,unit,58900.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:16.947755,2026-03-13T12:03:28.423040
,REMINGTON HAIR DRYER 9096,REMINGTON,Electronics,,18900.0,1.0,unit,18900.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:16.985460,2026-03-13T12:03:28.423040
,WEST POINT KETTLE 6171,WEST,Electronics,,7900.0,1.0,unit,7900.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:17.027654,2026-03-13T12:03:28.423040
,RAYS SANDWICH MAKER 3IN1 SM3000,RAYS,Electronics,,11500.0,1.0,unit,11500.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:17.061506,2026-03-13T12:03:28.423040
,WEST POINT HAND MIXER 9805,WEST,Electronics,,6900.0,1.0,unit,6900.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:17.110088,2026-03-13T12:03:28.423040
,CERTEZA AIR HUMDIFIER HF507 BASIC,CERTEZA,Electronics,,11500.0,1.0,unit,11500.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:17.153100,2026-03-13T12:03:28.423040
,BEURER FACIAL HAIR REMOVER HL16,BEURER,Electronics,,4995.0,1.0,unit,4995.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:17.195081,2026-03-13T12:03:28.423040
,PANASONIC ELECTRIC SHAVER RECHARGEABLE SA40,PANASONIC,Electronics,,11900.0,1.0,unit,11900.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:17.232980,2026-03-13T12:03:28.423040
,PHILIPS KETTLE HD9350 BASIC,PHILIPS,Electronics,,15900.0,1.0,unit,15900.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:17.275902,2026-03-13T12:03:28.423040
,PANASONIC HAND BLENDER MXGS1,PANASONIC,Electronics,,13900.0,1.0,unit,13900.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:17.309979,2026-03-13T12:03:28.423040
,REMINGTON CURLER 6525,REMINGTON,Electronics,,13500.0,1.0,unit,13500.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:17.353312,2026-03-13T12:03:28.423040
,KENWOOD CITRUS PRESS JE290 PC,KENWOOD,Electronics,,9900.0,1.0,unit,9900.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:17.394677,2026-03-13T12:03:28.423040
,WEST POINT INSECT KILLER 7110,WEST,Electronics,,11900.0,1.0,unit,11900.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:17.435509,2026-03-13T12:03:28.423040
,ELECTRIC SAFE IR 20ET,ELECTRIC,Electronics,,14900.0,1.0,unit,14900.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:17.471123,2026-03-13T12:03:28.423040
,WEST POINT CERAMIC COOKER 152,WEST,Electronics,,17900.0,1.0,unit,17900.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:17.513774,2026-03-13T12:03:28.423040
,REMINGTON HAIR DRYER D5710,REMINGTON,Electronics,,13500.0,1.0,unit,13500.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:17.553528,2026-03-13T12:03:28.423040
,WEST POINT DRY IRON 90B,WEST,Electronics,,5900.0,1.0,unit,5900.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:17.597029,2026-03-13T12:03:28.423040
,DOOR BELL IR D615,DOOR,Electronics,,1395.0,1.0,unit,1395.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:17.640873,2026-03-13T12:03:28.423040
,DOOR BELL IR D626,DOOR,Electronics,,1395.0,1.0,unit,1395.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:17.682968,2026-03-13T12:03:28.423040
,WEST POINT DRY IRON WF78B,WEST,Electronics,,6500.0,1.0,unit,6500.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:17.720757,2026-03-13T12:03:28.423040
,YESO MOSQUITO RCKET 785,YESO,Electronics,,1995.0,1.0,unit,1995.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:17.759810,2026-03-13T12:03:28.423040
,REMINGTON CURLER AS7580 ES1,REMINGTON,Electronics,,20900.0,1.0,unit,20900.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:17.803098,2026-03-13T12:03:28.423040
,WEST POINT JUICER BLENDER GRINDER 8823,WEST,Electronics,,12900.0,1.0,unit,12900.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:17.844941,2026-03-13T12:03:28.423040
,BRAUN HAND BLENDER MQ3000,BRAUN,Electronics,,15900.0,1.0,unit,15900.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:17.882743,2026-03-13T12:03:28.423040
,WEST POINT HAIR DRYER WF6260,WEST,Electronics,,5400.0,1.0,unit,5400.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:17.923161,2026-03-13T12:03:28.423040
,BEURER KITCHEN SCALE KS34XL,BEURER,Electronics,,6900.0,1.0,unit,6900.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:17.985736,2026-03-13T12:03:28.423040
,WEST POINT FOOD PROCESSOR 8815,WEST,Electronics,,18900.0,1.0,unit,18900.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:18.026213,2026-03-13T12:03:28.423040
,PHILIPS TRIMMER MG7920,PHILIPS,Electronics,,27900.0,1.0,unit,27900.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:18.066149,2026-03-13T12:03:28.423040
,PANASONIC ELECTRIC KETTLE NC-K301,PANASONIC,Electronics,,15900.0,1.0,unit,15900.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:18.105359,2026-03-13T12:03:28.423040
,WEST POINT BLENDER WF738,WEST,Electronics,,6500.0,1.0,unit,6500.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:18.185598,2026-03-13T12:03:28.423040
,WEST POINT BLENDER WF7381,WEST,Electronics,,6500.0,1.0,unit,6500.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:18.226007,2026-03-13T12:03:28.423040
,PANASONIC BLENDER MX-MG 5321 WHITE,PANASONIC,Electronics,,22900.0,1.0,unit,22900.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:18.259938,2026-03-13T12:03:28.423040
,PHILIPS GARMENTS STEAMER STE1020/46,PHILIPS,Electronics,,24900.0,1.0,unit,24900.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:18.303165,2026-03-13T12:03:28.423040
,PHILIPS HAIR STYLER BHH880,PHILIPS,Electronics,,19900.0,1.0,unit,19900.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:18.344840,2026-03-13T12:03:28.423040
,PHILIPS HAND MIXER HR3704/11,PHILIPS,Electronics,,11900.0,1.0,unit,11900.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:18.482986,2026-03-13T12:03:28.423040
,BEURER LUGGAGE SCALE LS10,BEURER,Electronics,,3995.0,1.0,unit,3995.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:18.565302,2026-03-13T12:03:28.424088
,WEST POINT DRY IRON 98B,WEST,Electronics,,5900.0,1.0,unit,5900.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:18.663078,2026-03-13T12:03:28.424088
,WEST POINT JUICER 1833,WEST,Electronics,,15900.0,1.0,unit,15900.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:18.735639,2026-03-13T12:03:28.424088
,PHILIPS TRIMMER 3747,PHILIPS,Electronics,,13900.0,1.0,unit,13900.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:18.783083,2026-03-13T12:03:28.424088
,WEST POINT JUICER WF8813,WEST,Electronics,,12900.0,1.0,unit,12900.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:18.827752,2026-03-13T12:03:28.424088
,BRAUN CITRUS JUICER CJ3050BK,BRAUN,Electronics,,13900.0,1.0,unit,13900.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:18.868871,2026-03-13T12:03:28.424088
,PANASONIC TRIMMER ER2051,PANASONIC,Electronics,,16900.0,1.0,unit,16900.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:18.925749,2026-03-13T12:03:28.424088
,REMINGTON HAIR STRAIGHTNER S9100B,REMINGTON,Electronics,,32900.0,1.0,unit,32900.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:18.993206,2026-03-13T12:03:28.424088
,PANASONIC STEAM IRON NI-S430,PANASONIC,Electronics,,11500.0,1.0,unit,11500.0,In Stock,AlFatah,Faisalabad,,,2026-03-11T17:17:19.033954,2026-03-13T12:03:28.424088
