product_id,name,brand,category,subcategory,price,quantity,unit,unit_price,availability,store,city,product_url,image_url,scrape_timestamp,processed_timestamp
,FRESCO AIR FRESHNER 250 ML,FRESCO,Electronics,,545.0,0.25,L,2180.0,In Stock,AlFatah,Lahore,,,2026-03-11T16:55:04.939815,2026-03-13T12:03:29.916716
,PANASONIC IRON MALAYSIA NI22AWT,PANASONIC,Electronics,,8500.0,1.0,unit,8500.0,In Stock,AlFatah,Lahore,,,2026-03-11T16:55:05.018002,2026-03-13T12:03:29.916716
,REMINGTON HAIR STRAIGHTNER S3500,REMINGTON,Electronics,,9200.0,1.0,unit,9200.0,In Stock,AlFatah,Lahore,,,2026-03-11T16:55:05.107607,2026-03-13T12:03:29.916716
,REMINGTON HAIR STRAIGHTNER S9100,REMINGTON,Electronics,,18200.0,1.0,unit,18200.0,In Stock,AlFatah,Lahore,,,2026-03-11T16:55:05.182160,2026-03-13T12:03:29.916716
,PHILIPS AIR FRYER HD9270,PHILIPS,Electronics,,39900.0,1.0,unit,39900.0,In Stock,AlFatah,Lahore,,,2026-03-11T16:55:05.247515,2026-03-13T12:03:29.916716
,REMINGTON HAIR STRAIGHTNER 8500,REMINGTON,Electronics,,13900.0,1.0,unit,13900.0,In Stock,AlFatah,Lahore,,,2026-03-11T16:55:05.319009,2026-03-13T12:03:29.916716
,PANASONIC IRON NI-22AWTXJ,PANASONIC,Electronics,,16500.0,1.0,unit,16500.0,In Stock,AlFatah,Lahore,,,2026-03-11T16:55:05.393520,2026-03-13T12:03:29.916716
,PRESTIGE MILK FROTHER BLACK 57262,PRESTIGE,Electronics,,3295.0,1.0,unit,3295.0,In Stock,AlFatah,Lahore,,,2026-03-11T16:55:05.468500,2026-03-13T12:03:29.916716
,PHILIPS HAIR DRYER BHC010,PHILIPS,Electronics,,6900.0,1.0,unit,6900.0,In Stock,AlFatah,Lahore,,,2026-03-11T16:55:05.551827,2026-03-13T12:03:29.916716
,REMINGTON HAIR STRAIGHTENER S9600,REMINGTON,Electronics,,18500.0,1.0,unit,18500.0,In Stock,AlFatah,Lahore,,,2026-03-11T16:55:05.639573,2026-03-13T12:03:29.916716
,PANASONIC IRON NI-317T,PANASONIC,Electronics,,6200.0,1.0,unit,6200.0,In Stock,AlFatah,Lahore,,,2026-03-11T16:55:05.810718,2026-03-13T12:03:29.916716
,REMINGTON HAIR STRAIGHTNER S6300,REMINGTON,Electronics,,10500.0,1.0,unit,10500.0,In Stock,AlFatah,Lahore,,,2026-03-11T16:55:05.941380,2026-03-13T12:03:29.916716
,ABDULLAH ATTA MACHINE 3.5 KG PC,ABDULLAH,Electronics,,10700.0,3.5,kg,3057.14,In Stock,AlFatah,Lahore,,,2026-03-11T16:55:06.022683,2026-03-13T12:03:29.916716
,PHILIPS EPILATOR BRE225,PHILIPS,Electronics,,9500.0,1.0,unit,9500.0,In Stock,AlFatah,Lahore,,,2026-03-11T16:55:06.078541,2026-03-13T12:03:29.916716
,MIDAS FAN HEATER E-3,MIDAS,Electronics,,10900.0,1.0,unit,10900.0,In Stock,AlFatah,Lahore,,,2026-03-11T16:55:06.130813,2026-03-13T12:03:29.916716
,PRESTIGE MILK FROTHER WHITE 57263,PRESTIGE,Electronics,,3295.0,1.0,unit,3295.0,In Stock,AlFatah,Lahore,,,2026-03-11T16:55:06.181178,2026-03-13T12:03:29.916716
,DELUX AUTOMATIC AEROSOL DISPENSER MACHINE,Lux,Electronics,,2295.0,1.0,unit,2295.0,In Stock,AlFatah,Lahore,,,2026-03-11T16:55:06.239844,2026-03-13T12:03:29.916716
,NERO ELECTRIC TOOTH BRUSH BLUE SB-202,NERO,Electronics,,2095.0,1.0,unit,2095.0,In Stock,AlFatah,Lahore,,,2026-03-11T16:55:06.314387,2026-03-13T12:03:29.916716
,KENWOOD COOKER INFRARED IFC01.000BK,KENWOOD,Electronics,,16900.0,1.0,unit,16900.0,In Stock,AlFatah,Lahore,,,2026-03-11T16:55:06.377249,2026-03-13T12:03:29.917737
,NERO ELECTRIC TOOTH BRUSH PINK SB-201,NERO,Electronics,,2095.0,1.0,unit,2095.0,In Stock,AlFatah,Lahore,,,2026-03-11T16:55:06.487031,2026-03-13T12:03:29.917737
,NERO ELECTRIC TOOTH BRUSH BLACK & WHITE 206,NERO,Electronics,,2395.0,1.0,unit,2395.0,In Stock,AlFatah,Lahore,,,2026-03-11T16:55:06.578503,2026-03-13T12:03:29.917737
,REMINGTON HAIR STRAIGHTNER S8540,REMINGTON,Electronics,,16900.0,1.0,unit,16900.0,In Stock,AlFatah,Lahore,,,2026-03-11T16:55:06.652341,2026-03-13T12:03:29.917910
,PHILIPS TRIMMER ONE BLADE QP1424/10,PHILIPS,Electronics,,7500.0,1.0,unit,7500.0,In Stock,AlFatah,Lahore,,,2026-03-11T16:55:06.729654,2026-03-13T12:03:29.917910
,PHILIPS HYBRID BLISTER BLADE QP220/51,PHILIPS,Electronics,,6995.0,1.0,unit,6995.0,In Stock,AlFatah,Lahore,,,2026-03-11T16:55:06.804149,2026-03-13T12:03:29.917910
,DINGLING TRIMMER RF-601-B,DINGLING,Electronics,,1995.0,1.0,unit,1995.0,In Stock,AlFatah,Lahore,,,2026-03-11T16:55:06.946632,2026-03-13T12:03:29.917910
,NERO SPIN BRUSH ELECRIC WHITER TEETH SB204,NERO,Electronics,,2395.0,1.0,unit,2395.0,In Stock,AlFatah,Lahore,,,2026-03-11T16:55:07.021146,2026-03-13T12:03:29.917910
,PHILIPS TRIMMER ONE BLADE QP2824/10,PHILIPS,Electronics,,11500.0,1.0,unit,11500.0,In Stock,AlFatah,Lahore,,,2026-03-11T16:55:07.089099,2026-03-13T12:03:29.917910
,WEST POINT COFFEE GRINDER WF9225,WEST,Electronics,,9900.0,1.0,unit,9900.0,In Stock,AlFatah,Lahore,,,2026-03-11T16:55:07.172508,2026-03-13T12:03:29.917910
,SUBOOM GARMENTS STEAMER IR ST-CT/919,SUBOOM,Electronics,,29900.0,1.0,unit,29900.0,In Stock,AlFatah,Lahore,,,2026-03-11T16:55:07.252377,2026-03-13T12:03:29.917910
,AEROSOL DISPENSER WITH REMOTE,AEROSOL,Electronics,,2995.0,1.0,unit,2995.0,In Stock,AlFatah,Lahore,,,2026-03-11T16:55:07.346457,2026-03-13T12:03:29.917910
,PHILIPS BODY SHAVER BG3027/03,PHILIPS,Electronics,,13900.0,1.0,unit,13900.0,In Stock,AlFatah,Lahore,,,2026-03-11T16:55:07.451973,2026-03-13T12:03:29.917910
,PANASONIC GARMENTS STEAMER NI-GSG060,PANASONIC,Electronics,,27900.0,1.0,unit,27900.0,In Stock,AlFatah,Lahore,,,2026-03-11T16:55:07.593813,2026-03-13T12:03:29.917910
,NERO SPIN BRUSH ELECTRIC 2 REFILL HEADS SB205,NERO,Electronics,,995.0,1.0,unit,995.0,In Stock,AlFatah,Lahore,,,2026-03-11T16:55:07.655964,2026-03-13T12:03:29.917910
,AEROSOL DISPENSER WITH LED,AEROSOL,Electronics,,2450.0,1.0,unit,2450.0,In Stock,AlFatah,Lahore,,,2026-03-11T16:55:07.764358,2026-03-13T12:03:29.917910
,REMINGTON HAIR CURLER AS8810/8110,REMINGTON,Electronics,,17900.0,1.0,unit,17900.0,In Stock,AlFatah,Lahore,,,2026-03-11T16:55:07.924605,2026-03-13T12:03:29.917910
,CERTEEZA BATHROOM SCALE 180KG GS810,CERTEEZA,Electronics,,2795.0,180.0,kg,15.53,In Stock,AlFatah,Lahore,,,2026-03-11T16:55:07.985803,2026-03-13T12:03:29.917910
,CERTEEZA BATROOM SCALE GLASS 180KG GS808,CERTEEZA,Electronics,,2495.0,180.0,kg,13.86,In Stock,AlFatah,Lahore,,,2026-03-11T16:55:08.076797,2026-03-13T12:03:29.917910
,REMINGTON HAIR DRYER AC9140,REMINGTON,Electronics,,19900.0,1.0,unit,19900.0,In Stock,AlFatah,Lahore,,,2026-03-11T16:55:08.303385,2026-03-13T12:03:29.917910
,REMINGTON HAIR STRAIGHTNER S8550,REMINGTON,Electronics,,15900.0,1.0,unit,15900.0,In Stock,AlFatah,Lahore,,,2026-03-11T16:55:08.426225,2026-03-13T12:03:29.917910
,BEURER BATH SCALE GLASS GS10 PC,BEURER,Electronics,,3400.0,1.0,unit,3400.0,In Stock,AlFatah,Lahore,,,2026-03-11T16:55:08.556025,2026-03-13T12:03:29.917910
,VGR ZERO T-BLADE TRIMMER V030,VGR,Electronics,,2895.0,1.0,unit,2895.0,In Stock,AlFatah,Lahore,,,2026-03-11T16:55:08.685374,2026-03-13T12:03:29.917910
,CERTEEZA BATHROOM SCALE 180KG GS807,CERTEEZA,Electronics,,2495.0,180.0,kg,13.86,In Stock,AlFatah,Lahore,,,2026-03-11T16:55:08.785161,2026-03-13T12:03:29.917910
,PHILIPS FACIAL HAIR REMOVER BRR454/00,PHILIPS,Electronics,,9900.0,1.0,unit,9900.0,In Stock,AlFatah,Lahore,,,2026-03-11T16:55:08.855169,2026-03-13T12:03:29.917910
,PANASONIC JUICER 3IN1 DJ31 BASIC,PANASONIC,Electronics,,48900.0,1.0,unit,48900.0,In Stock,AlFatah,Lahore,,,2026-03-11T16:55:08.930726,2026-03-13T12:03:29.917910
,DINGLING TRIMMER 607,DINGLING,Electronics,,3795.0,1.0,unit,3795.0,In Stock,AlFatah,Lahore,,,2026-03-11T16:55:09.008779,2026-03-13T12:03:29.917910
,REMINGTON HAIR STRAIGHTNER S5901,REMINGTON,Electronics,,15400.0,1.0,unit,15400.0,In Stock,AlFatah,Lahore,,,2026-03-11T16:55:09.263783,2026-03-13T12:03:29.917910
,PANASONIC STEAM IRON NI-M300,PANASONIC,Electronics,,7900.0,1.0,unit,7900.0,In Stock,AlFatah,Lahore,,,2026-03-11T16:55:09.394710,2026-03-13T12:03:29.917910
,CERTEEZA BATHROOM SCALE 200KG PS812,CERTEEZA,Electronics,,3595.0,200.0,kg,17.98,In Stock,AlFatah,Lahore,,,2026-03-11T16:55:09.471271,2026-03-13T12:03:29.917910
,WEST POINT KETTLE 6172,WEST,Electronics,,7900.0,1.0,unit,7900.0,In Stock,AlFatah,Lahore,,,2026-03-11T16:55:09.546220,2026-03-13T12:03:29.917910
,TOWEL STAND ELEGANT HOME EH0001,TOWEL,Electronics,,4395.0,1.0,unit,4395.0,In Stock,AlFatah,Lahore,,,2026-03-11T16:55:09.615865,2026-03-13T12:03:29.917910
