product_id,name,brand,category,subcategory,price,quantity,unit,unit_price,availability,store,city,product_url,image_url,scrape_timestamp,processed_timestamp
,Cool & Cool Cotton Buds C1775 100's,Cool,Health & Beauty,Personal Hygiene,159.0,1.0,unit,159.0,In Stock,Imtiaz,Islamabad,,,2026-03-13T07:42:20.588982,2026-03-13T12:03:30.907941
,Fay Cotton Buds 100's Jar,Fay,Health & Beauty,Personal Hygiene,154.0,1.0,unit,154.0,In Stock,Imtiaz,Islamabad,,,2026-03-13T07:42:20.687397,2026-03-13T12:03:30.907941
,Sfs Cotton 500G,Sfs,Health & Beauty,Personal Hygiene,836.0,0.5,kg,1672.0,In Stock,Imtiaz,Islamabad,,,2026-03-13T07:42:20.875718,2026-03-13T12:03:30.909063
,Sfs Cotton 100G,Sfs,Health & Beauty,Personal Hygiene,188.0,0.1,kg,1880.0,In Stock,Imtiaz,Islamabad,,,2026-03-13T07:42:21.113097,2026-03-13T12:03:30.909063
,Sfs Cotton 400G,Sfs,Health & Beauty,Personal Hygiene,679.0,0.4,kg,1697.5,In Stock,Imtiaz,Islamabad,,,2026-03-13T07:42:21.245694,2026-03-13T12:03:30.909063
,Tip Top's Cotton Buds P 100's Pch,Tip,Health & Beauty,Personal Hygiene,109.0,1.0,unit,109.0,In Stock,Imtiaz,Islamabad,,,2026-03-13T07:42:21.328343,2026-03-13T12:03:30.909063
,Tip Top's Cotton Buds P 200's Box,Tip,Health & Beauty,Personal Hygiene,275.0,1.0,unit,275.0,In Stock,Imtiaz,Islamabad,,,2026-03-13T07:42:21.513887,2026-03-13T12:03:30.909063
,Tip Top's Cotton Buds W 200's Box,Tip,Health & Beauty,Personal Hygiene,315.0,1.0,unit,315.0,In Stock,Imtiaz,Islamabad,,,2026-03-13T07:42:21.716328,2026-03-13T12:03:30.909063
,Tip Top's Cotton Buds W 100's Pch,Tip,Health & Beauty,Personal Hygiene,145.0,1.0,unit,145.0,In Stock,Imtiaz,Islamabad,,,2026-03-13T07:42:21.890973,2026-03-13T12:03:30.909063
,Touchme Shaving Cream Standard,Touchme,Health & Beauty,Men's Grooming,145.0,1.0,unit,145.0,In Stock,Imtiaz,Islamabad,,,2026-03-13T07:42:32.269272,2026-03-13T12:03:30.909063
,Veet Body Wax Strips Normal Skin 12's Local,Veet,Health & Beauty,Feminine Care,625.0,1.0,unit,625.0,In Stock,Imtiaz,Islamabad,,,2026-03-13T07:42:44.111272,2026-03-13T12:03:30.909614
,Veet Body Wax Strips DRy Skin 12's Local,Veet,Health & Beauty,Feminine Care,625.0,1.0,unit,625.0,In Stock,Imtiaz,Islamabad,,,2026-03-13T07:42:44.235192,2026-03-13T12:03:30.909614
,Lubna'S Hair Wax Wonder L,Lubna'S,Health & Beauty,Feminine Care,115.0,1.0,unit,115.0,In Stock,Imtiaz,Islamabad,,,2026-03-13T07:42:44.358756,2026-03-13T12:03:30.909614
,Black Cat Perfume Talc 70g,Black,Health & Beauty,Fragrances,195.0,0.07,kg,2785.71,In Stock,Imtiaz,Islamabad,,,2026-03-13T07:42:56.246400,2026-03-13T12:03:30.909614
