product_id,name,brand,category,subcategory,price,quantity,unit,unit_price,availability,store,city,product_url,image_url,scrape_timestamp,processed_timestamp
,Ponam Super Kernel Basmati Rice 1Kg,Ponam,Rice,,335.0,1.0,kg,335.0,In Stock,Imtiaz,Karachi,,,2026-03-11T18:35:32.706954,2026-03-13T11:28:12.813701
,Ponam Basmati Rice Kifayat 1Kg,Ponam,Rice,,215.0,1.0,kg,215.0,In Stock,Imtiaz,Karachi,,,2026-03-11T18:35:33.187918,2026-03-13T11:28:12.813701
,Ponam Super Kernel Basmati Rice 1Kg,Ponam,Rice,,335.0,1.0,kg,335.0,In Stock,Imtiaz,Karachi,,,2026-03-11T18:40:32.181437,2026-03-13T11:28:12.813701
,Ponam Basmati Rice Kifayat 1Kg,Ponam,Rice,,215.0,1.0,kg,215.0,In Stock,Imtiaz,Karachi,,,2026-03-11T18:40:32.402499,2026-03-13T11:28:12.813701
,Ponam Black Eyed Beans (White Lobia) 500g,Ponam,Pulses-Grains,,169.0,0.5,kg,338.0,In Stock,Imtiaz,Karachi,,,2026-03-11T18:35:43.721807,2026-03-13T11:28:12.813701
,Ponam Masoor Whole 1000g,Ponam,Pulses-Grains,,210.0,1.0,kg,210.0,In Stock,Imtiaz,Karachi,,,2026-03-11T18:35:44.133368,2026-03-13T11:28:12.813701
,Ponam Masoor Whole 500g,Ponam,Pulses-Grains,,105.0,0.5,kg,210.0,In Stock,Imtiaz,Karachi,,,2026-03-11T18:35:44.495343,2026-03-13T11:28:12.813701
,Ponam Red Kidney Beans (Lobia) 500g,Ponam,Pulses-Grains,,239.0,0.5,kg,478.0,In Stock,Imtiaz,Karachi,,,2026-03-11T18:35:44.755257,2026-03-13T11:28:12.813701
,Ponam Dal Moong 1000g,Ponam,Pulses-Grains,,365.0,1.0,kg,365.0,In Stock,Imtiaz,Karachi,,,2026-03-11T18:35:45.109696,2026-03-13T11:28:12.813701
,Ponam Moong Whole 500g,Ponam,Pulses-Grains,,175.0,0.5,kg,350.0,In Stock,Imtiaz,Karachi,,,2026-03-11T18:35:45.323539,2026-03-13T11:28:12.813701
,Ponam Dal Mix 500g,Ponam,Pulses-Grains,,189.0,0.5,kg,378.0,In Stock,Imtiaz,Karachi,,,2026-03-11T18:35:45.627760,2026-03-13T11:28:12.813701
,Ponam Dal Mash Chilka Black 500g,Ponam,Pulses-Grains,,215.0,0.5,kg,430.0,In Stock,Imtiaz,Karachi,,,2026-03-11T18:35:46.069836,2026-03-13T11:28:12.813701
,Ponam Dal Mash Whole 500g,Ponam,Pulses-Grains,,215.0,0.5,kg,430.0,In Stock,Imtiaz,Karachi,,,2026-03-11T18:35:46.227047,2026-03-13T11:28:12.813701
,Ponam Black Eyed Beans (White Lobia) 500g,Ponam,Pulses-Grains,,169.0,0.5,kg,338.0,In Stock,Imtiaz,Karachi,,,2026-03-11T18:40:47.601830,2026-03-13T11:28:12.813701
,Ponam Masoor Whole 1000g,Ponam,Pulses-Grains,,210.0,1.0,kg,210.0,In Stock,Imtiaz,Karachi,,,2026-03-11T18:40:47.793659,2026-03-13T11:28:12.813701
,Ponam Masoor Whole 500g,Ponam,Pulses-Grains,,105.0,0.5,kg,210.0,In Stock,Imtiaz,Karachi,,,2026-03-11T18:40:47.959783,2026-03-13T11:28:12.813701
,Ponam Red Kidney Beans (Lobia) 500g,Ponam,Pulses-Grains,,239.0,0.5,kg,478.0,In Stock,Imtiaz,Karachi,,,2026-03-11T18:40:48.155593,2026-03-13T11:28:12.813701
,Ponam Dal Moong 1000g,Ponam,Pulses-Grains,,365.0,1.0,kg,365.0,In Stock,Imtiaz,Karachi,,,2026-03-11T18:40:48.538721,2026-03-13T11:28:12.813701
,Ponam Moong Whole 500g,Ponam,Pulses-Grains,,175.0,0.5,kg,350.0,In Stock,Imtiaz,Karachi,,,2026-03-11T18:40:48.822895,2026-03-13T11:28:12.813701
,Ponam Dal Mix 500g,Ponam,Pulses-Grains,,189.0,0.5,kg,378.0,In Stock,Imtiaz,Karachi,,,2026-03-11T18:40:49.040950,2026-03-13T11:28:12.813701
,Ponam Dal Mash Chilka Black 500g,Ponam,Pulses-Grains,,215.0,0.5,kg,430.0,In Stock,Imtiaz,Karachi,,,2026-03-11T18:40:49.754034,2026-03-13T11:28:12.813701
,Ponam Dal Mash Whole 500g,Ponam,Pulses-Grains,,215.0,0.5,kg,430.0,In Stock,Imtiaz,Karachi,,,2026-03-11T18:40:50.086435,2026-03-13T11:28:12.813701
,Ponam Baisan 500g,Ponam,Flour,,125.0,0.5,kg,250.0,In Stock,Imtiaz,Karachi,,,2026-03-11T18:35:56.227596,2026-03-13T11:28:12.813701
,Ponam Maida 500g,Ponam,Flour,,85.0,0.5,kg,170.0,In Stock,Imtiaz,Karachi,,,2026-03-11T18:35:56.647494,2026-03-13T11:28:12.813701
,Ponam Maida 1kg,Ponam,Flour,,159.0,1.0,kg,159.0,In Stock,Imtiaz,Karachi,,,2026-03-11T18:35:56.965085,2026-03-13T11:28:12.813701
,Ponam Makai Flour 500g,Ponam,Flour,,109.0,0.5,kg,218.0,In Stock,Imtiaz,Karachi,,,2026-03-11T18:35:57.275986,2026-03-13T11:28:12.813701
,Ponam Cornflour 500g,Ponam,Flour,,119.0,0.5,kg,238.0,In Stock,Imtiaz,Karachi,,,2026-03-11T18:35:57.517692,2026-03-13T11:28:12.813701
,Ponam Cornflour 1kg,Ponam,Flour,,229.0,1.0,kg,229.0,In Stock,Imtiaz,Karachi,,,2026-03-11T18:35:57.898515,2026-03-13T11:28:12.813701
,Ponam Baisan 500g,Ponam,Flour,,125.0,0.5,kg,250.0,In Stock,Imtiaz,Karachi,,,2026-03-11T18:41:06.293679,2026-03-13T11:28:12.813701
,Ponam Maida 500g,Ponam,Flour,,85.0,0.5,kg,170.0,In Stock,Imtiaz,Karachi,,,2026-03-11T18:41:06.678028,2026-03-13T11:28:12.813701
,Ponam Maida 1kg,Ponam,Flour,,159.0,1.0,kg,159.0,In Stock,Imtiaz,Karachi,,,2026-03-11T18:41:07.021098,2026-03-13T11:28:12.813701
,Ponam Makai Flour 500g,Ponam,Flour,,109.0,0.5,kg,218.0,In Stock,Imtiaz,Karachi,,,2026-03-11T18:41:07.300433,2026-03-13T11:28:12.813701
,Ponam Cornflour 500g,Ponam,Flour,,119.0,0.5,kg,238.0,In Stock,Imtiaz,Karachi,,,2026-03-11T18:41:07.641735,2026-03-13T11:28:12.813701
,Ponam Cornflour 1kg,Ponam,Flour,,229.0,1.0,kg,229.0,In Stock,Imtiaz,Karachi,,,2026-03-11T18:41:07.954456,2026-03-13T11:28:12.813701
,Borges Olive Oil 100% Pure 125Ml,Borges,Oil-Ghee,,845.0,0.125,L,6760.0,In Stock,Imtiaz,Karachi,,,2026-03-11T18:36:09.831324,2026-03-13T11:28:12.813701
,Borges Olive Oil Pure Tin 100Ml,Borges,Oil-Ghee,,682.0,0.1,L,6820.0,In Stock,Imtiaz,Karachi,,,2026-03-11T18:36:10.295312,2026-03-13T11:28:12.813701
,Borges Olive Oil Extra Virgin 125ml,Borges,Oil-Ghee,,917.0,0.125,L,7336.0,In Stock,Imtiaz,Karachi,,,2026-03-11T18:36:10.671689,2026-03-13T11:28:12.813701
