store,city,product_id,name,brand,category,subcategory,price,availability,product_url,image_url,timestamp
AlFatah,Faisalabad,,FRESCO AIR FRESHNER 250 ML,Generic,Electronics,,Rs.545.00,In Stock,,,2026-03-11T17:17:12.101050
AlFatah,Faisalabad,,PANASONIC IRON MALAYSIA NI22AWT,Generic,Electronics,,"Rs.8,500.00",In Stock,,,2026-03-11T17:17:12.197527
AlFatah,Faisalabad,,REMINGTON HAIR STRAIGHTNER S3500,Generic,Electronics,,"Rs.9,200.00",In Stock,,,2026-03-11T17:17:12.284416
AlFatah,Faisalabad,,REMINGTON HAIR STRAIGHTNER S9100,Generic,Electronics,,"Rs.18,200.00",In Stock,,,2026-03-11T17:17:12.350510
AlFatah,Faisalabad,,PHILIPS AIR FRYER HD9270,Generic,Electronics,,"Rs.39,900.00",In Stock,,,2026-03-11T17:17:12.400663
AlFatah,Faisalabad,,REMINGTON HAIR STRAIGHTNER 8500,Generic,Electronics,,"Rs.13,900.00",In Stock,,,2026-03-11T17:17:12.445065
AlFatah,Faisalabad,,PANASONIC IRON NI-22AWTXJ,Generic,Electronics,,"Rs.16,500.00",In Stock,,,2026-03-11T17:17:12.494845
AlFatah,Faisalabad,,PRESTIGE MILK FROTHER BLACK 57262,Generic,Electronics,,"Rs.3,295.00",In Stock,,,2026-03-11T17:17:12.535905
AlFatah,Faisalabad,,PHILIPS HAIR DRYER BHC010,Generic,Electronics,,"Rs.6,900.00",In Stock,,,2026-03-11T17:17:12.673712
AlFatah,Faisalabad,,REMINGTON HAIR STRAIGHTENER S9600,Generic,Electronics,,"Rs.18,500.00",In Stock,,,2026-03-11T17:17:12.796836
AlFatah,Faisalabad,,PANASONIC IRON NI-317T,Generic,Electronics,,"Rs.6,200.00",In Stock,,,2026-03-11T17:17:12.841617
AlFatah,Faisalabad,,REMINGTON HAIR STRAIGHTNER S6300,Generic,Electronics,,"Rs.10,500.00",In Stock,,,2026-03-11T17:17:12.885506
AlFatah,Faisalabad,,ABDULLAH ATTA MACHINE 3.5 KG PC,Generic,Electronics,,"Rs.10,700.00",In Stock,,,2026-03-11T17:17:12.927621
AlFatah,Faisalabad,,PHILIPS EPILATOR BRE225,Generic,Electronics,,"Rs.9,500.00",In Stock,,,2026-03-11T17:17:12.970750
AlFatah,Faisalabad,,MIDAS FAN HEATER E-3,Generic,Electronics,,"Rs.10,900.00",In Stock,,,2026-03-11T17:17:13.048954
AlFatah,Faisalabad,,PRESTIGE MILK FROTHER WHITE 57263,Generic,Electronics,,"Rs.3,295.00",In Stock,,,2026-03-11T17:17:13.148142
AlFatah,Faisalabad,,DELUX AUTOMATIC AEROSOL DISPENSER MACHINE,Generic,Electronics,,"Rs.2,295.00",In Stock,,,2026-03-11T17:17:13.192032
AlFatah,Faisalabad,,NERO ELECTRIC TOOTH BRUSH BLUE SB-202,Generic,Electronics,,"Rs.2,095.00",In Stock,,,2026-03-11T17:17:13.235467
AlFatah,Faisalabad,,KENWOOD COOKER INFRARED IFC01.000BK,Generic,Electronics,,"Rs.16,900.00",In Stock,,,2026-03-11T17:17:13.282768
AlFatah,Faisalabad,,NERO ELECTRIC TOOTH BRUSH PINK SB-201,Generic,Electronics,,"Rs.2,095.00",In Stock,,,2026-03-11T17:17:13.323870
AlFatah,Faisalabad,,NERO ELECTRIC TOOTH BRUSH BLACK & WHITE 206,Generic,Electronics,,"Rs.2,395.00",In Stock,,,2026-03-11T17:17:13.370697
AlFatah,Faisalabad,,REMINGTON HAIR STRAIGHTNER S8540,Generic,Electronics,,"Rs.16,900.00",In Stock,,,2026-03-11T17:17:13.435684
AlFatah,Faisalabad,,PHILIPS TRIMMER ONE BLADE QP1424/10,Generic,Electronics,,"Rs.7,500.00",In Stock,,,2026-03-11T17:17:13.477867
AlFatah,Faisalabad,,PHILIPS HYBRID BLISTER BLADE QP220/51,Generic,Electronics,,"Rs.6,995.00",In Stock,,,2026-03-11T17:17:13.521003
AlFatah,Faisalabad,,DINGLING TRIMMER RF-601-B,Generic,Electronics,,"Rs.1,995.00",In Stock,,,2026-03-11T17:17:13.561727
AlFatah,Faisalabad,,NERO SPIN BRUSH ELECRIC WHITER TEETH SB204,Generic,Electronics,,"Rs.2,395.00",In Stock,,,2026-03-11T17:17:13.610142
AlFatah,Faisalabad,,PHILIPS TRIMMER ONE BLADE QP2824/10,Generic,Electronics,,"Rs.11,500.00",In Stock,,,2026-03-11T17:17:13.669722
AlFatah,Faisalabad,,WEST POINT COFFEE GRINDER WF9225,Generic,Electronics,,"Rs.9,900.00",In Stock,,,2026-03-11T17:17:13.765422
AlFatah,Faisalabad,,SUBOOM GARMENTS STEAMER IR ST-CT/919,Generic,Electronics,,"Rs.29,900.00",In Stock,,,2026-03-11T17:17:13.805230
AlFatah,Faisalabad,,AEROSOL DISPENSER WITH REMOTE,Generic,Electronics,,"Rs.2,995.00",In Stock,,,2026-03-11T17:17:13.844997
AlFatah,Faisalabad,,PHILIPS BODY SHAVER BG3027/03,Generic,Electronics,,"Rs.13,900.00",In Stock,,,2026-03-11T17:17:13.892770
AlFatah,Faisalabad,,PANASONIC GARMENTS STEAMER NI-GSG060,Generic,Electronics,,"Rs.27,900.00",In Stock,,,2026-03-11T17:17:13.948803
AlFatah,Faisalabad,,NERO SPIN BRUSH ELECTRIC 2 REFILL HEADS SB205,Generic,Electronics,,Rs.995.00,In Stock,,,2026-03-11T17:17:14.007570
AlFatah,Faisalabad,,AEROSOL DISPENSER WITH LED,Generic,Electronics,,"Rs.2,450.00",In Stock,,,2026-03-11T17:17:14.052974
AlFatah,Faisalabad,,REMINGTON HAIR CURLER AS8810/8110,Generic,Electronics,,"Rs.17,900.00",In Stock,,,2026-03-11T17:17:14.123569
AlFatah,Faisalabad,,CERTEEZA BATHROOM SCALE 180KG GS810,Generic,Electronics,,"Rs.2,795.00",In Stock,,,2026-03-11T17:17:14.181164
AlFatah,Faisalabad,,CERTEEZA BATROOM SCALE GLASS 180KG GS808,Generic,Electronics,,"Rs.2,495.00",In Stock,,,2026-03-11T17:17:14.252158
AlFatah,Faisalabad,,REMINGTON HAIR DRYER AC9140,Generic,Electronics,,"Rs.19,900.00",In Stock,,,2026-03-11T17:17:14.288715
AlFatah,Faisalabad,,REMINGTON HAIR STRAIGHTNER S8550,Generic,Electronics,,"Rs.15,900.00",In Stock,,,2026-03-11T17:17:14.341573
AlFatah,Faisalabad,,BEURER BATH SCALE GLASS GS10 PC,Generic,Electronics,,"Rs.3,400.00",In Stock,,,2026-03-11T17:17:14.380995
AlFatah,Faisalabad,,VGR ZERO T-BLADE TRIMMER V030,Generic,Electronics,,"Rs.2,895.00",In Stock,,,2026-03-11T17:17:14.421984
AlFatah,Faisalabad,,CERTEEZA BATHROOM SCALE 180KG GS807,Generic,Electronics,,"Rs.2,495.00",In Stock,,,2026-03-11T17:17:14.463447
AlFatah,Faisalabad,,PHILIPS FACIAL HAIR REMOVER BRR454/00,Generic,Electronics,,"Rs.9,900.00",In Stock,,,2026-03-11T17:17:14.506042
AlFatah,Faisalabad,,PANASONIC JUICER 3IN1 DJ31 BASIC,Generic,Electronics,,"Rs.48,900.00",In Stock,,,2026-03-11T17:17:14.545025
AlFatah,Faisalabad,,DINGLING TRIMMER 607,Generic,Electronics,,"Rs.3,795.00",In Stock,,,2026-03-11T17:17:14.648769
AlFatah,Faisalabad,,REMINGTON HAIR STRAIGHTNER S5901,Generic,Electronics,,"Rs.15,400.00",In Stock,,,2026-03-11T17:17:14.695055
AlFatah,Faisalabad,,PANASONIC STEAM IRON NI-M300,Generic,Electronics,,"Rs.7,900.00",In Stock,,,2026-03-11T17:17:14.735671
AlFatah,Faisalabad,,CERTEEZA BATHROOM SCALE 200KG PS812,Generic,Electronics,,"Rs.3,595.00",In Stock,,,2026-03-11T17:17:14.781272
