store,city,product_id,name,brand,category,subcategory,price,availability,product_url,image_url,timestamp
AlFatah,Lahore,,FRESCO AIR FRESHNER 250 ML,Generic,Electronics,,Rs.545.00,In Stock,,,2026-03-11T16:55:04.939815
AlFatah,Lahore,,PANASONIC IRON MALAYSIA NI22AWT,Generic,Electronics,,"Rs.8,500.00",In Stock,,,2026-03-11T16:55:05.018002
AlFatah,Lahore,,REMINGTON HAIR STRAIGHTNER S3500,Generic,Electronics,,"Rs.9,200.00",In Stock,,,2026-03-11T16:55:05.107607
AlFatah,Lahore,,REMINGTON HAIR STRAIGHTNER S9100,Generic,Electronics,,"Rs.18,200.00",In Stock,,,2026-03-11T16:55:05.182160
AlFatah,Lahore,,PHILIPS AIR FRYER HD9270,Generic,Electronics,,"Rs.39,900.00",In Stock,,,2026-03-11T16:55:05.247515
AlFatah,Lahore,,REMINGTON HAIR STRAIGHTNER 8500,Generic,Electronics,,"Rs.13,900.00",In Stock,,,2026-03-11T16:55:05.319009
AlFatah,Lahore,,PANASONIC IRON NI-22AWTXJ,Generic,Electronics,,"Rs.16,500.00",In Stock,,,2026-03-11T16:55:05.393520
AlFatah,Lahore,,PRESTIGE MILK FROTHER BLACK 57262,Generic,Electronics,,"Rs.3,295.00",In Stock,,,2026-03-11T16:55:05.468500
AlFatah,Lahore,,PHILIPS HAIR DRYER BHC010,Generic,Electronics,,"Rs.6,900.00",In Stock,,,2026-03-11T16:55:05.551827
AlFatah,Lahore,,REMINGTON HAIR STRAIGHTENER S9600,Generic,Electronics,,"Rs.18,500.00",In Stock,,,2026-03-11T16:55:05.639573
AlFatah,Lahore,,PANASONIC IRON NI-317T,Generic,Electronics,,"Rs.6,200.00",In Stock,,,2026-03-11T16:55:05.810718
AlFatah,Lahore,,REMINGTON HAIR STRAIGHTNER S6300,Generic,Electronics,,"Rs.10,500.00",In Stock,,,2026-03-11T16:55:05.941380
AlFatah,Lahore,,ABDULLAH ATTA MACHINE 3.5 KG PC,Generic,Electronics,,"Rs.10,700.00",In Stock,,,2026-03-11T16:55:06.022683
AlFatah,Lahore,,PHILIPS EPILATOR BRE225,Generic,Electronics,,"Rs.9,500.00",In Stock,,,2026-03-11T16:55:06.078541
AlFatah,Lahore,,MIDAS FAN HEATER E-3,Generic,Electronics,,"Rs.10,900.00",In Stock,,,2026-03-11T16:55:06.130813
AlFatah,Lahore,,PRESTIGE MILK FROTHER WHITE 57263,Generic,Electronics,,"Rs.3,295.00",In Stock,,,2026-03-11T16:55:06.181178
AlFatah,Lahore,,DELUX AUTOMATIC AEROSOL DISPENSER MACHINE,Generic,Electronics,,"Rs.2,295.00",In Stock,,,2026-03-11T16:55:06.239844
AlFatah,Lahore,,NERO ELECTRIC TOOTH BRUSH BLUE SB-202,Generic,Electronics,,"Rs.2,095.00",In Stock,,,2026-03-11T16:55:06.314387
AlFatah,Lahore,,KENWOOD COOKER INFRARED IFC01.000BK,Generic,Electronics,,"Rs.16,900.00",In Stock,,,2026-03-11T16:55:06.377249
AlFatah,Lahore,,NERO ELECTRIC TOOTH BRUSH PINK SB-201,Generic,Electronics,,"Rs.2,095.00",In Stock,,,2026-03-11T16:55:06.487031
AlFatah,Lahore,,NERO ELECTRIC TOOTH BRUSH BLACK & WHITE 206,Generic,Electronics,,"Rs.2,395.00",In Stock,,,2026-03-11T16:55:06.578503
AlFatah,Lahore,,REMINGTON HAIR STRAIGHTNER S8540,Generic,Electronics,,"Rs.16,900.00",In Stock,,,2026-03-11T16:55:06.652341
AlFatah,Lahore,,PHILIPS TRIMMER ONE BLADE QP1424/10,Generic,Electronics,,"Rs.7,500.00",In Stock,,,2026-03-11T16:55:06.729654
AlFatah,Lahore,,PHILIPS HYBRID BLISTER BLADE QP220/51,Generic,Electronics,,"Rs.6,995.00",In Stock,,,2026-03-11T16:55:06.804149
AlFatah,Lahore,,DINGLING TRIMMER RF-601-B,Generic,Electronics,,"Rs.1,995.00",In Stock,,,2026-03-11T16:55:06.946632
AlFatah,Lahore,,NERO SPIN BRUSH ELECRIC WHITER TEETH SB204,Generic,Electronics,,"Rs.2,395.00",In Stock,,,2026-03-11T16:55:07.021146
AlFatah,Lahore,,PHILIPS TRIMMER ONE BLADE QP2824/10,Generic,Electronics,,"Rs.11,500.00",In Stock,,,2026-03-11T16:55:07.089099
AlFatah,Lahore,,WEST POINT COFFEE GRINDER WF9225,Generic,Electronics,,"Rs.9,900.00",In Stock,,,2026-03-11T16:55:07.172508
AlFatah,Lahore,,SUBOOM GARMENTS STEAMER IR ST-CT/919,Generic,Electronics,,"Rs.29,900.00",In Stock,,,2026-03-11T16:55:07.252377
AlFatah,Lahore,,AEROSOL DISPENSER WITH REMOTE,Generic,Electronics,,"Rs.2,995.00",In Stock,,,2026-03-11T16:55:07.346457
AlFatah,Lahore,,PHILIPS BODY SHAVER BG3027/03,Generic,Electronics,,"Rs.13,900.00",In Stock,,,2026-03-11T16:55:07.451973
AlFatah,Lahore,,PANASONIC GARMENTS STEAMER NI-GSG060,Generic,Electronics,,"Rs.27,900.00",In Stock,,,2026-03-11T16:55:07.593813
AlFatah,Lahore,,NERO SPIN BRUSH ELECTRIC 2 REFILL HEADS SB205,Generic,Electronics,,Rs.995.00,In Stock,,,2026-03-11T16:55:07.655964
AlFatah,Lahore,,AEROSOL DISPENSER WITH LED,Generic,Electronics,,"Rs.2,450.00",In Stock,,,2026-03-11T16:55:07.764358
AlFatah,Lahore,,REMINGTON HAIR CURLER AS8810/8110,Generic,Electronics,,"Rs.17,900.00",In Stock,,,2026-03-11T16:55:07.924605
AlFatah,Lahore,,CERTEEZA BATHROOM SCALE 180KG GS810,Generic,Electronics,,"Rs.2,795.00",In Stock,,,2026-03-11T16:55:07.985803
