store,city,product_id,name,brand,category,subcategory,price,availability,product_url,image_url,timestamp
Imtiaz,Islamabad,,Cool & Cool Cotton Buds C1775 100's,Generic,Health & Beauty,Personal Hygiene,Rs. 159.00,In Stock,,,2026-03-13T07:42:20.588982
Imtiaz,Islamabad,,Fay Cotton Buds 100's Jar,Generic,Health & Beauty,Personal Hygiene,Rs. 154.00,In Stock,,,2026-03-13T07:42:20.687397
Imtiaz,Islamabad,,Sfs Cotton 500G,Generic,Health & Beauty,Personal Hygiene,Rs. 836.00,In Stock,,,2026-03-13T07:42:20.875718
Imtiaz,Islamabad,,Sfs Cotton 100G,Generic,Health & Beauty,Personal Hygiene,Rs. 188.00,In Stock,,,2026-03-13T07:42:21.113097
Imtiaz,Islamabad,,Sfs Cotton 400G,Generic,Health & Beauty,Personal Hygiene,Rs. 679.00,In Stock,,,2026-03-13T07:42:21.245694
Imtiaz,Islamabad,,Tip Top's Cotton Buds P 100's Pch,Generic,Health & Beauty,Personal Hygiene,Rs. 109.00,In Stock,,,2026-03-13T07:42:21.328343
Imtiaz,Islamabad,,Tip Top's Cotton Buds P 200's Box,Generic,Health & Beauty,Personal Hygiene,Rs. 275.00,In Stock,,,2026-03-13T07:42:21.513887
Imtiaz,Islamabad,,Tip Top's Cotton Buds W 200's Box,Generic,Health & Beauty,Personal Hygiene,Rs. 315.00,In Stock,,,2026-03-13T07:42:21.716328
Imtiaz,Islamabad,,Tip Top's Cotton Buds W 100's Pch,Generic,Health & Beauty,Personal Hygiene,Rs. 145.00,In Stock,,,2026-03-13T07:42:21.890973
Imtiaz,Islamabad,,Touchme Shaving Cream Standard,Generic,Health & Beauty,Men's Grooming,Rs. 145.00,In Stock,,,2026-03-13T07:42:32.269272
Imtiaz,Islamabad,,Veet Body Wax Strips Normal Skin 12's Local,Generic,Health & Beauty,Feminine Care,Rs. 625.00,In Stock,,,2026-03-13T07:42:44.111272
Imtiaz,Islamabad,,Veet Body Wax Strips DRy Skin 12's Local,Generic,Health & Beauty,Feminine Care,Rs. 625.00,In Stock,,,2026-03-13T07:42:44.235192
Imtiaz,Islamabad,,Lubna'S Hair Wax Wonder L,Generic,Health & Beauty,Feminine Care,Rs. 115.00,In Stock,,,2026-03-13T07:42:44.358756
Imtiaz,Islamabad,,Black Cat Perfume Talc 70g,Generic,Health & Beauty,Fragrances,Rs. 195.00,In Stock,,,2026-03-13T07:42:56.246400
Imtiaz,Islamabad,,Tyfon Bleach 1Ltr,Generic,Home Care,Laundry,Rs. 325.00,In Stock,,,2026-03-13T07:43:11.185371
Imtiaz,Islamabad,,Super Bleach 500ml,Generic,Home Care,Laundry,Rs. 149.00,In Stock,,,2026-03-13T07:43:11.295549
Imtiaz,Islamabad,,Tyfon Bleach 500ml,Generic,Home Care,Laundry,Rs. 205.00,In Stock,,,2026-03-13T07:43:11.502741
Imtiaz,Islamabad,,Super Bleach 1Ltr,Generic,Home Care,Laundry,Rs. 239.00,In Stock,,,2026-03-13T07:43:11.663847
Imtiaz,Islamabad,,Aci Color Bleach 500Ml,Generic,Home Care,Laundry,Rs. 535.00,In Stock,,,2026-03-13T07:43:11.806379
Imtiaz,Islamabad,,Robin Bleach 1Ltr,Generic,Home Care,Laundry,"Rs. 1,095.00",In Stock,,,2026-03-13T07:43:11.947135
Imtiaz,Islamabad,,Aci Noclo Non Chlorine Bleach 500ml,Generic,Home Care,Laundry,Rs. 435.00,In Stock,,,2026-03-13T07:43:12.095349
Imtiaz,Islamabad,,Robin Bleach 450ml,Generic,Home Care,Laundry,Rs. 559.00,In Stock,,,2026-03-13T07:43:12.242661
Imtiaz,Islamabad,,Super Clean Naphthalene Balls Large,Generic,Home Care,Cleaning,Rs. 456.00,In Stock,,,2026-03-13T07:43:22.384766
Imtiaz,Islamabad,,Roomi Naphthalene Balls Colored,Generic,Home Care,Cleaning,Rs. 215.00,In Stock,,,2026-03-13T07:43:22.509844
Imtiaz,Islamabad,,Rose Petal Toilet Roll Single,Generic,Home Care,Tissue,Rs. 113.00,In Stock,,,2026-03-13T07:43:45.939959
Imtiaz,Islamabad,,Rose Petal Maxob Toilet Roll Family Pack 8's+2’s Free,Generic,Home Care,Tissue,Rs. 909.00,In Stock,,,2026-03-13T07:43:46.066485
Imtiaz,Islamabad,,Hankies Toilet Roll Twin Pack,Generic,Home Care,Tissue,Rs. 209.00,In Stock,,,2026-03-13T07:43:46.443126
Imtiaz,Islamabad,,Fay Toilet Roll Twin Pack,Generic,Home Care,Tissue,Rs. 199.00,In Stock,,,2026-03-13T07:43:46.552154
Imtiaz,Islamabad,,Hankies Toilet Roll Small,Generic,Home Care,Tissue,Rs. 100.00,In Stock,,,2026-03-13T07:43:46.671155
Imtiaz,Islamabad,,Fay Toilet Roll,Generic,Home Care,Tissue,Rs. 109.00,In Stock,,,2026-03-13T07:43:46.777630
Imtiaz,Islamabad,,Hankies Toilet Roll Single,Generic,Home Care,Tissue,Rs. 115.00,In Stock,,,2026-03-13T07:43:46.916469
Imtiaz,Islamabad,,Fay Toilet Roll Economy Pack 10'S,Generic,Home Care,Tissue,Rs. 912.00,In Stock,,,2026-03-13T07:43:47.165741
Imtiaz,Islamabad,,Roomi Air Freshner Block Refill L,Generic,Home Care,Air Fresheners & Home Fragrances,Rs. 215.00,In Stock,,,2026-03-13T07:44:00.141614
Imtiaz,Islamabad,,Fresh Touch Air Freshner Refill Lavender 80g,Generic,Home Care,Air Fresheners & Home Fragrances,Rs. 165.00,In Stock,,,2026-03-13T07:44:00.255280
Imtiaz,Islamabad,,Fresh Touch Air Freshner Refill Lemon 80g,Generic,Home Care,Air Fresheners & Home Fragrances,Rs. 165.00,In Stock,,,2026-03-13T07:44:00.367949
Imtiaz,Islamabad,,Fresh Touch Air Freshner Refill Rose 80g,Generic,Home Care,Air Fresheners & Home Fragrances,Rs. 165.00,In Stock,,,2026-03-13T07:44:00.474333
Imtiaz,Islamabad,,Fresh Touch Air Freshner Refill Jasmine 80g,Generic,Home Care,Air Fresheners & Home Fragrances,Rs. 165.00,In Stock,,,2026-03-13T07:44:00.581994
Imtiaz,Islamabad,,Marhaba Ispaghol Husk Box 50g,Generic,Pharmacy,Husk,Rs. 305.00,In Stock,,,2026-03-13T07:44:41.513108
Imtiaz,Islamabad,,Ponam Ispaghol Husk 100g,Generic,Pharmacy,Husk,Rs. 399.00,In Stock,,,2026-03-13T07:44:41.619276
Imtiaz,Islamabad,,Marhaba Ispaghol Husk Jar 95g,Generic,Pharmacy,Husk,Rs. 629.00,In Stock,,,2026-03-13T07:44:41.757717
Imtiaz,Islamabad,,Dr Koff Lozenges Honey & Lemon 6'S,Generic,Pharmacy,Lozenges,Rs. 282.13,In Stock,,,2026-03-13T07:45:02.337318
Imtiaz,Islamabad,,Dr Koff Lozenges Tulsi 6'S,Generic,Pharmacy,Lozenges,Rs. 282.13,In Stock,,,2026-03-13T07:45:02.426233
Imtiaz,Islamabad,,K Y Lubricant Jelly 50g,Generic,Pharmacy,Sexual Wellness,"Rs. 1,049.00",In Stock,,,2026-03-13T07:45:12.702667
Imtiaz,Islamabad,,Eros Cream 15g,Generic,Pharmacy,Sexual Wellness,"Rs. 1,150.00",In Stock,,,2026-03-13T07:45:12.801545
